county,administered_date,total_doses,pfizer_doses,moderna_doses,jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose
Alameda,12/15/2020,36,36,0,0,36,36,0,0,36
Alameda,12/16/2020,202,202,0,0,202,238,0,0,202
Alameda,12/17/2020,396,396,0,0,396,634,0,0,396
Alameda,12/18/2020,1766,1765,1,0,1766,2400,0,0,1766
Alameda,12/19/2020,1357,1357,0,0,1357,3757,0,0,1357
Alameda,12/20/2020,1156,1155,1,0,1155,4911,1,1,1155
Alameda,12/21/2020,1859,1858,1,0,1858,6769,0,1,1858
Alameda,12/22/2020,2099,2047,52,0,2099,8868,0,1,2099
Alameda,12/23/2020,1927,1671,256,0,1927,10795,0,1,1927
Alameda,12/24/2020,1218,758,460,0,1218,12013,0,1,1218
Alameda,12/25/2020,165,128,37,0,165,12178,0,1,165
Alameda,12/26/2020,867,323,544,0,867,13045,0,1,867
Alameda,12/27/2020,500,256,244,0,500,13545,0,1,500
Alameda,12/28/2020,1883,957,926,0,1883,15428,0,1,1883
Alameda,12/29/2020,2427,1022,1405,0,2426,17854,0,1,2426
Alameda,12/30/2020,3122,1359,1763,0,3124,20978,0,1,3124
Alameda,12/31/2020,1789,441,1348,0,1788,22765,1,2,1788
Alameda,1/1/2021,171,70,101,0,170,22934,1,3,170
Alameda,1/2/2021,719,521,198,0,718,23652,0,3,718
Alameda,1/3/2021,341,220,121,0,338,23987,3,6,338
Alameda,1/4/2021,1647,944,703,0,1635,25611,11,17,1635
Alameda,1/5/2021,2199,1265,934,0,1963,27341,233,250,1963
Alameda,1/6/2021,3242,1776,1466,0,2428,28960,811,1061,2430
Alameda,1/7/2021,3773,2112,1661,0,2686,30572,1078,2139,2690
Alameda,1/8/2021,4724,2695,2029,0,3103,32062,1617,3756,3107
Alameda,1/9/2021,2031,1388,643,0,1170,32371,861,4617,1170
Alameda,1/10/2021,1061,843,218,0,424,32157,638,5255,424
Alameda,1/11/2021,4630,3502,1128,0,2842,33217,1788,7043,2848
Alameda,1/12/2021,4824,3246,1578,0,3432,35261,1391,8434,3435
Alameda,1/13/2021,5025,2654,2371,0,3846,37933,1175,9609,3847
Alameda,1/14/2021,5603,2740,2863,0,4717,41776,877,10486,4720
Alameda,1/15/2021,5827,2309,3518,0,5060,46079,760,11246,5063
Alameda,1/16/2021,3005,1409,1596,0,2737,48549,268,11514,2738
Alameda,1/17/2021,1868,1084,784,0,1661,50005,206,11720,1662
Alameda,1/18/2021,3192,2049,1143,0,2598,52018,590,12310,2603
Alameda,1/19/2021,5516,3329,2187,0,4329,55164,1185,13495,4331
Alameda,1/20/2021,6689,4026,2663,0,5396,59283,1281,14776,5400
Alameda,1/21/2021,7739,3382,4357,0,6911,65375,822,15598,6914
Alameda,1/22/2021,6837,2032,4805,0,5699,69945,1131,16729,5701
Alameda,1/23/2021,3280,943,2337,0,2728,72123,552,17281,2730
Alameda,1/24/2021,2049,654,1395,0,1773,73624,272,17553,1773
Alameda,1/25/2021,5213,1985,3228,0,3628,75675,1577,19130,3628
Alameda,1/26/2021,7241,2286,4955,0,5382,79206,1852,20982,5383
