,Date,County,Population,Positive Tests,Cases Per 100k,Counts
27286,2020-02-01,Los Angeles,10257557.0,10.0,0.1,0
27225,2020-02-02,Los Angeles,10257557.0,1.0,0.01,1
27164,2020-02-03,Los Angeles,10257557.0,1.0,0.01,2
27103,2020-02-04,Los Angeles,10257557.0,0.0,0.0,3
27042,2020-02-05,Los Angeles,10257557.0,0.0,0.0,4
26981,2020-02-06,Los Angeles,10257557.0,0.0,0.0,5
26920,2020-02-07,Los Angeles,10257557.0,0.0,0.0,6
26859,2020-02-08,Los Angeles,10257557.0,1.0,0.01,7
26798,2020-02-09,Los Angeles,10257557.0,1.0,0.01,8
26737,2020-02-10,Los Angeles,10257557.0,1.0,0.01,9
26676,2020-02-11,Los Angeles,10257557.0,0.0,0.0,10
26615,2020-02-12,Los Angeles,10257557.0,0.0,0.0,11
26554,2020-02-13,Los Angeles,10257557.0,0.0,0.0,12
26493,2020-02-14,Los Angeles,10257557.0,0.0,0.0,13
26432,2020-02-15,Los Angeles,10257557.0,0.0,0.0,14
26371,2020-02-16,Los Angeles,10257557.0,1.0,0.01,15
26310,2020-02-17,Los Angeles,10257557.0,0.0,0.0,16
26249,2020-02-18,Los Angeles,10257557.0,0.0,0.0,17
26188,2020-02-19,Los Angeles,10257557.0,0.0,0.0,18
26127,2020-02-20,Los Angeles,10257557.0,0.0,0.0,19
26066,2020-02-21,Los Angeles,10257557.0,0.0,0.0,20
26005,2020-02-22,Los Angeles,10257557.0,0.0,0.0,21
25944,2020-02-23,Los Angeles,10257557.0,0.0,0.0,22
25883,2020-02-24,Los Angeles,10257557.0,1.0,0.01,23
25822,2020-02-25,Los Angeles,10257557.0,0.0,0.0,24
25761,2020-02-26,Los Angeles,10257557.0,1.0,0.01,25
25700,2020-02-27,Los Angeles,10257557.0,1.0,0.01,26
25639,2020-02-28,Los Angeles,10257557.0,1.0,0.01,27
25578,2020-02-29,Los Angeles,10257557.0,0.0,0.0,28
25517,2020-03-01,Los Angeles,10257557.0,2.0,0.02,29
25456,2020-03-02,Los Angeles,10257557.0,11.0,0.11,30
25395,2020-03-03,Los Angeles,10257557.0,8.0,0.08,31
25334,2020-03-04,Los Angeles,10257557.0,2.0,0.02,32
25273,2020-03-05,Los Angeles,10257557.0,2.0,0.02,33
25212,2020-03-06,Los Angeles,10257557.0,2.0,0.02,34
25151,2020-03-07,Los Angeles,10257557.0,6.0,0.06,35
25090,2020-03-08,Los Angeles,10257557.0,15.0,0.15,36
25029,2020-03-09,Los Angeles,10257557.0,31.0,0.3,37
24968,2020-03-10,Los Angeles,10257557.0,21.0,0.2,38
24907,2020-03-11,Los Angeles,10257557.0,32.0,0.31,39
24846,2020-03-12,Los Angeles,10257557.0,90.0,0.88,40
24785,2020-03-13,Los Angeles,10257557.0,100.0,0.97,41
24724,2020-03-14,Los Angeles,10257557.0,67.0,0.65,42
24663,2020-03-15,Los Angeles,10257557.0,71.0,0.69,43
24602,2020-03-16,Los Angeles,10257557.0,221.0,2.15,44
24541,2020-03-17,Los Angeles,10257557.0,270.0,2.63,45
24480,2020-03-18,Los Angeles,10257557.0,229.0,2.23,46
24419,2020-03-19,Los Angeles,10257557.0,270.0,2.63,47
24358,2020-03-20,Los Angeles,10257557.0,303.0,2.95,48
24297,2020-03-21,Los Angeles,10257557.0,187.0,1.82,49
24236,2020-03-22,Los Angeles,10257557.0,225.0,2.19,50
24175,2020-03-23,Los Angeles,10257557.0,482.0,4.7,51
24114,2020-03-24,Los Angeles,10257557.0,479.0,4.67,52
24053,2020-03-25,Los Angeles,10257557.0,449.0,4.38,53
23992,2020-03-26,Los Angeles,10257557.0,486.0,4.74,54
23931,2020-03-27,Los Angeles,10257557.0,555.0,5.41,55
23870,2020-03-28,Los Angeles,10257557.0,470.0,4.58,56
23809,2020-03-29,Los Angeles,10257557.0,304.0,2.96,57
23748,2020-03-30,Los Angeles,10257557.0,696.0,6.79,58
23687,2020-03-31,Los Angeles,10257557.0,728.0,7.1,59
23626,2020-04-01,Los Angeles,10257557.0,820.0,7.99,60
23565,2020-04-02,Los Angeles,10257557.0,795.0,7.75,61
23504,2020-04-03,Los Angeles,10257557.0,749.0,7.3,62
23443,2020-04-04,Los Angeles,10257557.0,607.0,5.92,63
23382,2020-04-05,Los Angeles,10257557.0,508.0,4.95,64
23321,2020-04-06,Los Angeles,10257557.0,624.0,6.08,65
23260,2020-04-07,Los Angeles,10257557.0,921.0,8.98,66
23199,2020-04-08,Los Angeles,10257557.0,862.0,8.4,67
23138,2020-04-09,Los Angeles,10257557.0,769.0,7.5,68
23077,2020-04-10,Los Angeles,10257557.0,808.0,7.88,69
23016,2020-04-11,Los Angeles,10257557.0,542.0,5.28,70
22955,2020-04-12,Los Angeles,10257557.0,382.0,3.72,71
22894,2020-04-13,Los Angeles,10257557.0,948.0,9.24,72
22833,2020-04-14,Los Angeles,10257557.0,938.0,9.14,73
22772,2020-04-15,Los Angeles,10257557.0,1136.0,11.07,74
22711,2020-04-16,Los Angeles,10257557.0,944.0,9.2,75
22650,2020-04-17,Los Angeles,10257557.0,954.0,9.3,76
22589,2020-04-18,Los Angeles,10257557.0,770.0,7.51,77
22528,2020-04-19,Los Angeles,10257557.0,524.0,5.11,78
22467,2020-04-20,Los Angeles,10257557.0,1213.0,11.83,79
22406,2020-04-21,Los Angeles,10257557.0,1120.0,10.92,80
22345,2020-04-22,Los Angeles,10257557.0,1043.0,10.17,81
22284,2020-04-23,Los Angeles,10257557.0,1160.0,11.31,82
22223,2020-04-24,Los Angeles,10257557.0,1326.0,12.93,83
22162,2020-04-25,Los Angeles,10257557.0,1127.0,10.99,84
22101,2020-04-26,Los Angeles,10257557.0,583.0,5.68,85
22040,2020-04-27,Los Angeles,10257557.0,1416.0,13.8,86
21979,2020-04-28,Los Angeles,10257557.0,1312.0,12.79,87
21918,2020-04-29,Los Angeles,10257557.0,1300.0,12.67,88
21857,2020-04-30,Los Angeles,10257557.0,1241.0,12.1,89
21796,2020-05-01,Los Angeles,10257557.0,1206.0,11.76,90
21735,2020-05-02,Los Angeles,10257557.0,847.0,8.26,91
21674,2020-05-03,Los Angeles,10257557.0,533.0,5.2,92
21613,2020-05-04,Los Angeles,10257557.0,1052.0,10.26,93
21552,2020-05-05,Los Angeles,10257557.0,1500.0,14.62,94
21491,2020-05-06,Los Angeles,10257557.0,1404.0,13.69,95
21430,2020-05-07,Los Angeles,10257557.0,1295.0,12.62,96
21369,2020-05-08,Los Angeles,10257557.0,1346.0,13.12,97
21308,2020-05-09,Los Angeles,10257557.0,980.0,9.55,98
21247,2020-05-10,Los Angeles,10257557.0,501.0,4.88,99
21186,2020-05-11,Los Angeles,10257557.0,1452.0,14.16,100
21125,2020-05-12,Los Angeles,10257557.0,1574.0,15.34,101
21064,2020-05-13,Los Angeles,10257557.0,1447.0,14.11,102
21003,2020-05-14,Los Angeles,10257557.0,1985.0,19.35,103
20942,2020-05-15,Los Angeles,10257557.0,1863.0,18.16,104
20881,2020-05-16,Los Angeles,10257557.0,1098.0,10.7,105
20820,2020-05-17,Los Angeles,10257557.0,586.0,5.71,106
20759,2020-05-18,Los Angeles,10257557.0,1891.0,18.44,107
20698,2020-05-19,Los Angeles,10257557.0,1729.0,16.86,108
20637,2020-05-20,Los Angeles,10257557.0,2120.0,20.67,109
20576,2020-05-21,Los Angeles,10257557.0,1684.0,16.42,110
20515,2020-05-22,Los Angeles,10257557.0,1571.0,15.32,111
20454,2020-05-23,Los Angeles,10257557.0,1100.0,10.72,112
20393,2020-05-24,Los Angeles,10257557.0,531.0,5.18,113
20332,2020-05-25,Los Angeles,10257557.0,796.0,7.76,114
20271,2020-05-26,Los Angeles,10257557.0,2712.0,26.44,115
20210,2020-05-27,Los Angeles,10257557.0,2027.0,19.76,116
20149,2020-05-28,Los Angeles,10257557.0,1864.0,18.17,117
20088,2020-05-29,Los Angeles,10257557.0,1958.0,19.09,118
20027,2020-05-30,Los Angeles,10257557.0,1240.0,12.09,119
19966,2020-05-31,Los Angeles,10257557.0,478.0,4.66,120
19905,2020-06-01,Los Angeles,10257557.0,1390.0,13.55,121
19844,2020-06-02,Los Angeles,10257557.0,1730.0,16.87,122
19783,2020-06-03,Los Angeles,10257557.0,1828.0,17.82,123
19722,2020-06-04,Los Angeles,10257557.0,1791.0,17.46,124
19661,2020-06-05,Los Angeles,10257557.0,1869.0,18.22,125
19600,2020-06-06,Los Angeles,10257557.0,1419.0,13.83,126
19539,2020-06-07,Los Angeles,10257557.0,580.0,5.65,127
19478,2020-06-08,Los Angeles,10257557.0,2139.0,20.85,128
19417,2020-06-09,Los Angeles,10257557.0,1905.0,18.57,129
19356,2020-06-10,Los Angeles,10257557.0,2222.0,21.66,130
19295,2020-06-11,Los Angeles,10257557.0,2127.0,20.74,131
19234,2020-06-12,Los Angeles,10257557.0,1944.0,18.95,132
19173,2020-06-13,Los Angeles,10257557.0,1551.0,15.12,133
19112,2020-06-14,Los Angeles,10257557.0,763.0,7.44,134
19051,2020-06-15,Los Angeles,10257557.0,2500.0,24.37,135
18990,2020-06-16,Los Angeles,10257557.0,2498.0,24.35,136
18929,2020-06-17,Los Angeles,10257557.0,2743.0,26.74,137
18868,2020-06-18,Los Angeles,10257557.0,2800.0,27.3,138
18807,2020-06-19,Los Angeles,10257557.0,2657.0,25.9,139
18746,2020-06-20,Los Angeles,10257557.0,2077.0,20.25,140
18685,2020-06-21,Los Angeles,10257557.0,1101.0,10.73,141
18624,2020-06-22,Los Angeles,10257557.0,2988.0,29.13,142
18563,2020-06-23,Los Angeles,10257557.0,3236.0,31.55,143
18502,2020-06-24,Los Angeles,10257557.0,3479.0,33.92,144
18441,2020-06-25,Los Angeles,10257557.0,3804.0,37.08,145
18380,2020-06-26,Los Angeles,10257557.0,3708.0,36.15,146
