,Date,County,Population,Positive Tests,Cases Per 100k
27295,2020-02-01,Napa,139652.0,0.0,0.0
27234,2020-02-02,Napa,139652.0,0.0,0.0
27173,2020-02-03,Napa,139652.0,0.0,0.0
27112,2020-02-04,Napa,139652.0,0.0,0.0
27051,2020-02-05,Napa,139652.0,0.0,0.0
26990,2020-02-06,Napa,139652.0,0.0,0.0
26929,2020-02-07,Napa,139652.0,0.0,0.0
26868,2020-02-08,Napa,139652.0,0.0,0.0
26807,2020-02-09,Napa,139652.0,0.0,0.0
26746,2020-02-10,Napa,139652.0,0.0,0.0
26685,2020-02-11,Napa,139652.0,0.0,0.0
26624,2020-02-12,Napa,139652.0,0.0,0.0
26563,2020-02-13,Napa,139652.0,0.0,0.0
26502,2020-02-14,Napa,139652.0,0.0,0.0
26441,2020-02-15,Napa,139652.0,0.0,0.0
26380,2020-02-16,Napa,139652.0,0.0,0.0
26319,2020-02-17,Napa,139652.0,0.0,0.0
26258,2020-02-18,Napa,139652.0,0.0,0.0
26197,2020-02-19,Napa,139652.0,0.0,0.0
26136,2020-02-20,Napa,139652.0,0.0,0.0
26075,2020-02-21,Napa,139652.0,0.0,0.0
26014,2020-02-22,Napa,139652.0,0.0,0.0
25953,2020-02-23,Napa,139652.0,0.0,0.0
25892,2020-02-24,Napa,139652.0,0.0,0.0
25831,2020-02-25,Napa,139652.0,0.0,0.0
25770,2020-02-26,Napa,139652.0,0.0,0.0
25709,2020-02-27,Napa,139652.0,0.0,0.0
25648,2020-02-28,Napa,139652.0,0.0,0.0
25587,2020-02-29,Napa,139652.0,0.0,0.0
25526,2020-03-01,Napa,139652.0,0.0,0.0
25465,2020-03-02,Napa,139652.0,0.0,0.0
25404,2020-03-03,Napa,139652.0,0.0,0.0
25343,2020-03-04,Napa,139652.0,0.0,0.0
25282,2020-03-05,Napa,139652.0,0.0,0.0
25221,2020-03-06,Napa,139652.0,0.0,0.0
25160,2020-03-07,Napa,139652.0,0.0,0.0
25099,2020-03-08,Napa,139652.0,0.0,0.0
25038,2020-03-09,Napa,139652.0,0.0,0.0
24977,2020-03-10,Napa,139652.0,0.0,0.0
24916,2020-03-11,Napa,139652.0,0.0,0.0
24855,2020-03-12,Napa,139652.0,0.0,0.0
24794,2020-03-13,Napa,139652.0,0.0,0.0
24733,2020-03-14,Napa,139652.0,0.0,0.0
24672,2020-03-15,Napa,139652.0,0.0,0.0
24611,2020-03-16,Napa,139652.0,0.0,0.0
