,Date,County,Population,Positive Tests,Cases Per 100k
27325,2020-02-01,Ventura,852747.0,0.0,0.0
27264,2020-02-02,Ventura,852747.0,0.0,0.0
27203,2020-02-03,Ventura,852747.0,0.0,0.0
27142,2020-02-04,Ventura,852747.0,0.0,0.0
27081,2020-02-05,Ventura,852747.0,0.0,0.0
27020,2020-02-06,Ventura,852747.0,0.0,0.0
26959,2020-02-07,Ventura,852747.0,0.0,0.0
26898,2020-02-08,Ventura,852747.0,0.0,0.0
26837,2020-02-09,Ventura,852747.0,0.0,0.0
26776,2020-02-10,Ventura,852747.0,0.0,0.0
26715,2020-02-11,Ventura,852747.0,0.0,0.0
26654,2020-02-12,Ventura,852747.0,0.0,0.0
26593,2020-02-13,Ventura,852747.0,0.0,0.0
26532,2020-02-14,Ventura,852747.0,0.0,0.0
26471,2020-02-15,Ventura,852747.0,0.0,0.0
26410,2020-02-16,Ventura,852747.0,0.0,0.0
26349,2020-02-17,Ventura,852747.0,0.0,0.0
26288,2020-02-18,Ventura,852747.0,0.0,0.0
26227,2020-02-19,Ventura,852747.0,0.0,0.0
26166,2020-02-20,Ventura,852747.0,0.0,0.0
26105,2020-02-21,Ventura,852747.0,0.0,0.0
26044,2020-02-22,Ventura,852747.0,0.0,0.0
25983,2020-02-23,Ventura,852747.0,0.0,0.0
25922,2020-02-24,Ventura,852747.0,0.0,0.0
25861,2020-02-25,Ventura,852747.0,0.0,0.0
25800,2020-02-26,Ventura,852747.0,0.0,0.0
25739,2020-02-27,Ventura,852747.0,3.0,0.35
25678,2020-02-28,Ventura,852747.0,0.0,0.0
25617,2020-02-29,Ventura,852747.0,1.0,0.12
25556,2020-03-01,Ventura,852747.0,0.0,0.0
25495,2020-03-02,Ventura,852747.0,6.0,0.7
25434,2020-03-03,Ventura,852747.0,0.0,0.0
25373,2020-03-04,Ventura,852747.0,0.0,0.0
25312,2020-03-05,Ventura,852747.0,0.0,0.0
25251,2020-03-06,Ventura,852747.0,0.0,0.0
25190,2020-03-07,Ventura,852747.0,0.0,0.0
25129,2020-03-08,Ventura,852747.0,0.0,0.0
25068,2020-03-09,Ventura,852747.0,1.0,0.12
25007,2020-03-10,Ventura,852747.0,0.0,0.0
24946,2020-03-11,Ventura,852747.0,1.0,0.12
24885,2020-03-12,Ventura,852747.0,5.0,0.59
24824,2020-03-13,Ventura,852747.0,2.0,0.23
24763,2020-03-14,Ventura,852747.0,1.0,0.12
24702,2020-03-15,Ventura,852747.0,1.0,0.12
