,Date,County,Population,Positive Tests,Cases Per 100k
1403,2021-03-31,Alameda,1685886.0,123.0,7.3
1406,2021-03-31,Butte,217769.0,11.0,5.05
1410,2021-03-31,Contra Costa,1160099.0,91.0,7.84
1412,2021-03-31,El Dorado,193098.0,20.0,10.36
1413,2021-03-31,Fresno,1032227.0,94.0,9.11
1415,2021-03-31,Humboldt,134098.0,0.0,0.0
1416,2021-03-31,Imperial,191649.0,31.0,16.18
1418,2021-03-31,Kern,927251.0,60.0,6.47
1419,2021-03-31,Kings,156444.0,7.0,4.47
1422,2021-03-31,Los Angeles,10257557.0,756.0,7.37
1423,2021-03-31,Madera,160089.0,17.0,10.62
1424,2021-03-31,Marin,260800.0,11.0,4.22
1427,2021-03-31,Merced,287420.0,53.0,18.44
1430,2021-03-31,Monterey,448732.0,23.0,5.13
1431,2021-03-31,Napa,139652.0,14.0,10.02
1433,2021-03-31,Orange,3228519.0,176.0,5.45
1435,2021-03-31,Placer,400434.0,45.0,11.24
1437,2021-03-31,Riverside,2468145.0,168.0,6.81
1438,2021-03-31,Sacramento,1567975.0,176.0,11.22
1440,2021-03-31,San Bernardino,2217398.0,189.0,8.52
1441,2021-03-31,San Diego,3370418.0,369.0,10.95
1442,2021-03-31,San Francisco,892280.0,63.0,7.06
1443,2021-03-31,San Joaquin,782545.0,116.0,14.82
1444,2021-03-31,San Luis Obispo,278862.0,28.0,10.04
1445,2021-03-31,San Mateo,778001.0,48.0,6.17
1446,2021-03-31,Santa Barbara,456373.0,38.0,8.33
1447,2021-03-31,Santa Clara,1967585.0,164.0,8.34
1448,2021-03-31,Santa Cruz,273999.0,8.0,2.92
1449,2021-03-31,Shasta,177925.0,10.0,5.62
1452,2021-03-31,Solano,444255.0,31.0,6.98
1453,2021-03-31,Sonoma,496668.0,47.0,9.46
1454,2021-03-31,Stanislaus,562303.0,101.0,17.96
1455,2021-03-31,Sutter,105747.0,12.0,11.35
1458,2021-03-31,Tulare,484423.0,26.0,5.37
1461,2021-03-31,Ventura,852747.0,63.0,7.39
1462,2021-03-31,Yolo,223612.0,22.0,9.84
1464,2021-03-30,Alameda,1685886.0,130.0,7.71
1467,2021-03-30,Butte,217769.0,13.0,5.97
1471,2021-03-30,Contra Costa,1160099.0,73.0,6.29
